train_loss,val_loss,test_loss
380.88,72.90,63.17
255.87,59.56,52.86
223.85,65.52,58.21
204.76,58.61,52.14
193.60,53.39,47.59
180.67,54.58,49.45
166.62,56.65,48.76
159.88,52.08,45.49
151.41,50.63,44.97
142.11,51.93,45.48
