,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.835,0.0,0.022,0.021,0.003,0.004,0.112,0.0,0.003,0.0
Trouser,0.0,0.975,0.0,0.02,0.002,0.0,0.001,0.0,0.002,0.0
Pullover,0.011,0.0,0.839,0.009,0.064,0.0,0.076,0.0,0.001,0.0
Dress,0.013,0.003,0.012,0.914,0.022,0.0,0.032,0.0,0.003,0.001
Coat,0.002,0.0,0.053,0.028,0.843,0.0,0.074,0.0,0.0,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.952,0.0,0.036,0.0,0.012
Shirt,0.099,0.001,0.059,0.023,0.072,0.0,0.736,0.0,0.01,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.983,0.0,0.016
Bag,0.002,0.001,0.006,0.003,0.004,0.005,0.008,0.007,0.964,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.043,0.0,0.954
