,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,642,9,81,12,0,140,0,41,8,67
automobile,42,347,8,7,0,23,0,53,3,517
bird,162,0,130,28,0,628,0,42,0,10
cat,28,0,32,21,0,857,0,46,0,16
deer,94,0,113,27,0,706,0,51,0,9
dog,17,0,30,15,0,898,0,32,0,8
frog,48,0,55,37,0,766,0,87,0,7
horse,34,0,44,38,0,813,0,55,0,16
ship,735,23,35,7,0,48,0,26,47,79
truck,71,178,9,23,0,54,0,87,0,578
