epoch,train_loss,val_loss,test_loss
1,2.93,1.98,1.98
2,2.07,2.03,2.03
3,2.05,1.97,1.97
4,1.99,1.92,1.92
5,2.03,1.94,1.94
6,2.01,2.09,2.08
7,1.97,1.88,1.88
8,1.93,1.91,1.92
9,1.96,1.88,1.88
10,1.92,1.93,1.93
11,1.90,1.93,1.93
12,1.88,1.82,1.83
13,1.88,1.96,1.96
14,1.86,1.81,1.81
15,1.86,1.80,1.81
16,1.82,1.81,1.81
17,1.81,1.74,1.75
18,1.80,1.73,1.73
19,1.79,1.78,1.79
20,1.79,1.82,1.82
