epoch,train_acc,val_acc,test_acc
1,17.08,19.41,20.63
2,17.50,20.89,20.70
3,17.52,19.14,18.40
4,19.92,23.88,23.67
5,19.27,22.10,22.56
6,20.18,21.83,22.20
7,21.24,23.51,23.23
8,21.88,24.59,24.62
9,21.94,26.92,26.67
10,22.80,23.69,23.53
11,23.36,24.82,25.50
12,23.56,26.61,26.51
13,23.76,26.15,26.35
14,24.00,28.05,27.84
15,24.20,26.66,26.94
16,25.57,25.38,24.65
17,25.77,29.25,28.83
18,25.66,29.12,28.53
19,26.45,26.33,25.72
20,26.39,27.88,27.18
