epoch,train_acc,val_acc,test_acc
1,83.16,88.67,88.44
2,88.68,90.03,89.50
3,90.26,91.27,90.42
4,91.33,90.87,90.15
5,91.94,91.58,91.27
6,92.46,91.68,91.44
7,92.88,92.67,92.19
8,93.40,90.14,89.76
9,93.79,91.97,91.54
10,94.23,92.66,92.57
