epoch,train_loss,val_loss,test_loss
1,1.01,0.59,0.61
2,0.64,0.56,0.57
3,0.55,0.53,0.54
4,0.49,0.45,0.46
5,0.43,0.43,0.44
6,0.40,0.56,0.57
7,0.37,0.46,0.47
8,0.34,0.42,0.43
9,0.32,0.38,0.38
10,0.29,0.35,0.36
11,0.27,0.34,0.35
12,0.26,0.37,0.38
13,0.24,0.29,0.29
14,0.23,0.27,0.28
15,0.22,0.28,0.29
