epoch,train_acc,val_acc,test_acc
1,65.74,79.53,78.84
2,75.90,84.20,83.21
3,79.14,82.82,81.53
4,81.76,86.79,86.13
5,84.03,87.62,86.26
6,85.35,76.85,76.13
7,86.57,82.61,82.15
8,87.61,88.28,87.98
9,88.37,88.98,88.93
10,89.56,88.07,87.90
11,90.28,88.88,88.31
12,90.91,86.33,85.78
13,91.29,89.71,89.17
14,92.01,91.75,90.74
15,92.20,90.59,89.78
