,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.8586065573770492,0.004098360655737705,0.042008196721311473,0.010245901639344262,0.012295081967213115,0.006147540983606557,0.006147540983606557,0.00819672131147541,0.039959016393442626,0.012295081967213115
automobile,0.01594746716697936,0.8818011257035647,0.0,0.0028142589118198874,0.0009380863039399625,0.0009380863039399625,0.0009380863039399625,0.0,0.019699812382739212,0.07692307692307693
bird,0.031840796019900496,0.001990049751243781,0.7402985074626866,0.06965174129353234,0.04079601990049751,0.045771144278606964,0.041791044776119404,0.01990049751243781,0.006965174129353234,0.0009950248756218905
cat,0.010025062656641603,0.0012531328320802004,0.023809523809523808,0.7543859649122807,0.03759398496240601,0.09649122807017543,0.042606516290726815,0.02506265664160401,0.002506265664160401,0.006265664160401002
deer,0.022149302707136997,0.002461033634126333,0.08695652173913043,0.06070549630844955,0.6989335520918786,0.04019688269073011,0.04840032813781788,0.031173092698933553,0.004922067268252666,0.004101722723543888
dog,0.0046210720887245845,0.0009242144177449168,0.03512014787430684,0.14417744916820702,0.024029574861367836,0.7292051756007394,0.019408502772643253,0.036968576709796676,0.0018484288354898336,0.0036968576709796672
frog,0.005376344086021506,0.005376344086021506,0.023655913978494623,0.03870967741935484,0.010752688172043012,0.012903225806451613,0.8827956989247312,0.005376344086021506,0.011827956989247311,0.0032258064516129032
horse,0.009221311475409836,0.0,0.018442622950819672,0.022540983606557378,0.02459016393442623,0.018442622950819672,0.007172131147540984,0.8852459016393442,0.0,0.014344262295081968
ship,0.04766355140186916,0.012149532710280374,0.011214953271028037,0.02149532710280374,0.003738317757009346,0.001869158878504673,0.008411214953271028,0.003738317757009346,0.8476635514018691,0.04205607476635514
truck,0.009111617312072893,0.03530751708428246,0.0,0.004555808656036446,0.0,0.0,0.0,0.0011389521640091116,0.0056947608200455585,0.9441913439635535
