,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.3729817007534984,0.03283100107642627,0.08503767491926803,0.04736275565123789,0.03283100107642627,0.01829924650161464,0.02744886975242196,0.016146393972012917,0.32992465016146394,0.03713670613562971
automobile,0.025,0.6464285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2785714285714286
bird,0.1020242914979757,0.009716599190283401,0.2582995951417004,0.15303643724696356,0.1360323886639676,0.11902834008097166,0.0825910931174089,0.09473684210526316,0.034817813765182185,0.009716599190283401
cat,,,,,,,,,,
deer,,,,,,,,,,
dog,0.009270859433725883,0.004259584064144325,0.11801553495364571,0.14958656978200952,0.18316211475820596,0.1849160611375595,0.16136306690052618,0.1794036582310198,0.0037584565271861687,0.006264094211976948
frog,0.04741980474198047,0.08647140864714087,0.05160390516039052,0.13389121338912133,0.043235704323570434,0.09065550906555091,0.2175732217573222,0.15760111576011157,0.02510460251046025,0.14644351464435146
horse,0.047619047619047616,0.023809523809523808,0.09523809523809523,0.16666666666666666,0.09523809523809523,0.21428571428571427,0.11904761904761904,0.23809523809523808,0.0,0.0
ship,0.1745152354570637,0.055401662049861494,0.002770083102493075,0.008310249307479225,0.002770083102493075,0.002770083102493075,0.002770083102493075,0.0,0.703601108033241,0.04709141274238227
truck,0.025065963060686015,0.4261213720316623,0.006596306068601583,0.013192612137203167,0.002638522427440633,0.00395778364116095,0.02704485488126649,0.009234828496042216,0.02836411609498681,0.4577836411609499
