,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.8834745762711864,0.0,0.013771186440677966,0.013771186440677966,0.00211864406779661,0.0,0.0858050847457627,0.0,0.001059322033898305,0.0
Trouser,0.0,0.9918533604887984,0.0,0.004073319755600814,0.0010183299389002036,0.0,0.003054989816700611,0.0,0.0,0.0
Pullover,0.014141414141414142,0.0,0.8575757575757575,0.00808080808080808,0.0595959595959596,0.0,0.0595959595959596,0.0,0.00101010101010101,0.0
Dress,0.0219256434699714,0.019065776930409915,0.0076263107721639654,0.8875119161105816,0.03813155386081983,0.0,0.022878932316491896,0.0,0.002859866539561487,0.0
Coat,0.0021141649048625794,0.003171247357293869,0.06448202959830866,0.014799154334038054,0.8520084566596194,0.0,0.05813953488372093,0.0,0.005285412262156448,0.0
Sandal,0.0030706243602865915,0.0,0.0010235414534288639,0.0,0.0,0.9805527123848515,0.0,0.00511770726714432,0.0040941658137154556,0.006141248720573183
Shirt,0.10997204100652376,0.0009319664492078285,0.05964585274930102,0.0260950605778192,0.08387698042870456,0.0,0.7148182665424044,0.0,0.004659832246039142,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.029693486590038315,0.0,0.9319923371647509,0.006704980842911878,0.031609195402298854
Bag,0.005988023952095809,0.001996007984031936,0.003992015968063872,0.001996007984031936,0.001996007984031936,0.0,0.010978043912175649,0.0,0.9720558882235529,0.000998003992015968
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.011077542799597181,0.0,0.022155085599194362,0.0,0.9667673716012085
