train_loss,val_loss,test_loss
3559.51,781.05,772.54
2690.13,756.29,753.30
2293.83,612.73,611.45
2035.22,560.50,558.39
1820.38,569.63,554.58
1634.04,547.85,540.95
1464.30,594.49,602.76
1319.61,633.08,633.13
1180.26,569.29,585.94
1060.17,668.82,671.84
