train_acc,val_acc,test_acc
48.02,55.78,56.01
61.62,58.10,57.63
67.44,65.98,66.76
71.14,68.60,68.52
74.16,68.78,69.63
76.97,70.76,71.04
79.38,68.91,68.67
81.40,67.77,68.30
83.39,71.46,71.87
84.93,69.14,69.14
