,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.615,0.019,0.114,0.013,0.068,0.006,0.013,0.018,0.088,0.046
automobile,0.032,0.761,0.004,0.009,0.01,0.002,0.017,0.008,0.042,0.115
bird,0.073,0.02,0.453,0.072,0.197,0.05,0.049,0.044,0.023,0.019
cat,0.036,0.026,0.084,0.361,0.168,0.102,0.08,0.072,0.036,0.035
deer,0.027,0.014,0.053,0.05,0.675,0.016,0.039,0.099,0.018,0.009
dog,0.023,0.008,0.086,0.218,0.125,0.364,0.032,0.108,0.012,0.024
frog,0.031,0.028,0.046,0.063,0.09,0.013,0.646,0.026,0.026,0.031
horse,0.021,0.008,0.039,0.044,0.083,0.041,0.008,0.708,0.01,0.038
ship,0.105,0.041,0.017,0.018,0.015,0.001,0.01,0.008,0.743,0.042
truck,0.051,0.104,0.012,0.014,0.017,0.004,0.006,0.024,0.037,0.731
