,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.918,0.0,0.023,0.015,0.0,0.001,0.039,0.0,0.004,0.0
Trouser,0.001,0.981,0.0,0.016,0.0,0.0,0.002,0.0,0.0,0.0
Pullover,0.011,0.001,0.95,0.009,0.008,0.0,0.021,0.0,0.0,0.0
Dress,0.01,0.0,0.01,0.952,0.009,0.0,0.018,0.0,0.001,0.0
Coat,0.0,0.0,0.102,0.034,0.789,0.0,0.073,0.0,0.002,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.991,0.0,0.008,0.0,0.001
Shirt,0.131,0.0,0.095,0.028,0.034,0.0,0.708,0.0,0.004,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.986,0.0,0.008
Bag,0.002,0.0,0.001,0.003,0.001,0.002,0.002,0.001,0.988,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.038,0.0,0.958
