epoch,train_loss,val_loss,test_loss
1,1.53,1.22,1.21
2,1.11,1.12,1.12
3,0.94,0.91,0.92
4,0.81,0.88,0.88
5,0.73,0.82,0.83
6,0.66,0.72,0.72
7,0.60,0.62,0.62
8,0.55,0.64,0.64
9,0.52,0.58,0.58
10,0.46,0.69,0.69
