epoch,train_acc,val_acc,test_acc
1,44.42,57.19,57.69
2,60.11,59.31,59.42
3,66.89,67.59,67.70
4,71.75,68.90,68.94
5,74.59,71.63,71.38
6,77.03,75.16,75.13
7,79.25,79.12,79.25
8,80.97,78.65,78.67
9,82.23,80.90,80.78
10,83.79,77.16,77.25
