,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,673,9,85,25,29,7,42,6,98,26
automobile,1,845,6,8,0,2,35,1,44,58
bird,39,0,755,23,21,50,95,9,5,3
cat,6,0,69,591,45,162,100,17,7,3
deer,4,2,103,27,669,15,152,23,4,1
dog,2,1,42,104,30,755,46,18,1,1
frog,3,0,22,26,2,13,933,0,1,0
horse,4,0,39,45,55,59,20,773,1,4
ship,17,2,15,20,2,0,40,2,894,8
truck,8,25,7,28,4,4,42,5,40,837
