,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.749,0.014,0.031,0.009,0.035,0.008,0.009,0.012,0.098,0.035
automobile,0.004,0.913,0.001,0.004,0.005,0.004,0.01,0.003,0.012,0.044
bird,0.072,0.011,0.578,0.045,0.117,0.076,0.044,0.028,0.023,0.006
cat,0.031,0.018,0.061,0.464,0.089,0.16,0.072,0.049,0.023,0.033
deer,0.013,0.006,0.058,0.037,0.746,0.039,0.037,0.047,0.011,0.006
dog,0.012,0.007,0.034,0.083,0.051,0.691,0.033,0.053,0.018,0.018
frog,0.008,0.015,0.025,0.036,0.037,0.026,0.813,0.01,0.019,0.011
horse,0.007,0.008,0.021,0.02,0.071,0.049,0.005,0.795,0.011,0.013
ship,0.036,0.032,0.006,0.007,0.009,0.005,0.009,0.004,0.871,0.021
truck,0.017,0.082,0.004,0.006,0.009,0.006,0.009,0.011,0.032,0.824
