,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automobile,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bird,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horse,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ship,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truck,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
