,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.832,0.0,0.013,0.03,0.005,0.002,0.108,0.0,0.01,0.0
Trouser,0.001,0.968,0.0,0.021,0.005,0.0,0.003,0.0,0.002,0.0
Pullover,0.016,0.001,0.765,0.01,0.097,0.0,0.1,0.0,0.011,0.0
Dress,0.02,0.009,0.004,0.903,0.025,0.0,0.037,0.0,0.002,0.0
Coat,0.001,0.003,0.057,0.033,0.818,0.0,0.086,0.0,0.002,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.962,0.001,0.021,0.002,0.014
Shirt,0.131,0.001,0.057,0.031,0.088,0.0,0.672,0.0,0.02,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.96,0.001,0.023
Bag,0.001,0.0,0.004,0.007,0.003,0.003,0.007,0.004,0.971,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.046,0.001,0.947
