train_acc,val_acc,test_acc
82.51,86.46,85.54
87.83,88.38,88.37
89.06,86.87,86.35
90.05,88.66,88.11
90.73,89.66,89.30
91.12,89.66,88.76
91.81,89.25,89.01
92.33,90.18,89.96
92.72,90.42,90.03
93.27,90.21,89.49
