,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.818,0.001,0.026,0.019,0.004,0.004,0.122,0.0,0.006,0.0
Trouser,0.0,0.977,0.001,0.015,0.004,0.0,0.001,0.0,0.002,0.0
Pullover,0.012,0.0,0.86,0.009,0.059,0.0,0.059,0.0,0.001,0.0
Dress,0.016,0.002,0.01,0.915,0.019,0.0,0.034,0.0,0.004,0.0
Coat,0.001,0.001,0.059,0.043,0.829,0.0,0.065,0.0,0.002,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.966,0.0,0.024,0.002,0.008
Shirt,0.088,0.0,0.081,0.022,0.071,0.0,0.725,0.0,0.013,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.977,0.0,0.014
Bag,0.0,0.0,0.0,0.001,0.009,0.002,0.008,0.005,0.975,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.049,0.001,0.944
