train_loss,val_loss,test_loss
711.36,139.93,120.62
496.11,111.53,99.00
441.63,134.13,118.61
400.63,108.77,97.54
373.62,104.34,92.85
349.12,105.53,94.58
324.32,115.38,99.12
303.96,101.35,90.12
286.53,101.27,89.52
269.33,105.99,93.56
