epoch,train_loss,val_loss,test_loss
1,0.48,0.37,0.38
2,0.33,0.33,0.35
3,0.29,0.30,0.32
4,0.27,0.29,0.30
5,0.25,0.27,0.29
6,0.23,0.31,0.32
7,0.22,0.27,0.29
8,0.20,0.27,0.29
9,0.19,0.26,0.28
10,0.18,0.28,0.31
