,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,757,0,0,57,0,2,133,4,47,0
Trouser,49,595,1,329,0,0,23,2,1,0
Pullover,73,1,31,5,0,0,877,2,11,0
Dress,522,4,0,398,0,0,56,10,10,0
Coat,191,0,33,23,0,1,736,4,12,0
Sandal,1,0,0,4,0,515,1,404,7,68
Shirt,291,1,9,33,0,0,613,2,51,0
Sneaker,0,0,0,0,0,46,0,887,4,63
Bag,11,1,0,1,0,0,56,23,908,0
Ankle boot,0,0,0,0,0,1,0,239,2,758
