epoch,train_acc,val_acc,test_acc
1,39.02,55.79,54.62
2,43.98,49.93,49.30
3,36.05,35.75,34.98
4,35.92,42.75,42.55
5,16.86,12.68,12.79
6,9.75,9.38,10.00
7,10.18,9.68,10.00
8,9.75,10.37,10.00
9,9.72,9.68,10.00
10,10.10,9.97,10.00
