,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.77,0.006,0.071,0.022,0.026,0.001,0.012,0.014,0.057,0.021
automobile,0.008,0.864,0.004,0.008,0.005,0.003,0.012,0.001,0.033,0.062
bird,0.054,0.001,0.639,0.077,0.098,0.046,0.051,0.019,0.01,0.005
cat,0.028,0.004,0.068,0.601,0.074,0.1,0.075,0.029,0.014,0.007
deer,0.013,0.004,0.061,0.057,0.75,0.021,0.034,0.048,0.009,0.003
dog,0.007,0.008,0.051,0.187,0.052,0.623,0.033,0.027,0.006,0.006
frog,0.011,0.006,0.053,0.074,0.024,0.012,0.796,0.002,0.02,0.002
horse,0.014,0.003,0.036,0.044,0.053,0.035,0.01,0.796,0.005,0.004
ship,0.05,0.017,0.028,0.016,0.004,0.0,0.009,0.004,0.86,0.012
truck,0.026,0.071,0.007,0.024,0.007,0.002,0.007,0.015,0.024,0.817
