epoch,train_loss,val_loss,test_loss
1,1.39,1.32,1.31
2,1.05,1.12,1.11
3,0.89,1.01,1.01
4,0.78,0.96,0.95
5,0.69,1.00,0.99
6,0.62,0.88,0.87
7,0.55,1.11,1.11
8,0.48,0.94,0.96
9,0.42,1.07,1.08
10,0.37,1.06,1.06
11,0.32,1.10,1.10
12,0.29,1.11,1.13
13,0.25,1.26,1.25
14,0.21,1.34,1.34
15,0.19,1.38,1.39
