epoch,train_loss,val_loss,test_loss
1,11.35,1.01,1.01
2,1.13,0.82,0.84
3,0.99,0.79,0.81
4,1.74,2.79,2.74
5,2.45,2.31,2.31
6,2.27,2.30,2.30
7,2.20,2.31,2.30
8,2.18,2.31,2.31
9,2.28,1.39,1.39
10,1.14,0.85,0.86
