,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,749,0,82,126,14,2,11,1,15,0
Trouser,16,352,18,599,14,0,1,0,0,0
Pullover,6,0,683,5,301,0,3,0,2,0
Dress,31,7,24,801,127,1,8,0,1,0
Coat,2,0,242,51,696,0,4,0,5,0
Sandal,0,0,0,2,0,739,0,198,11,50
Shirt,204,0,413,95,253,1,13,0,21,0
Sneaker,0,0,0,0,0,11,0,949,5,35
Bag,0,0,84,7,8,13,2,7,877,2
Ankle boot,0,0,1,1,0,1,0,129,1,867
