epoch,train_acc,val_acc,test_acc
1,37.62,61.82,61.05
2,55.48,66.63,65.74
3,61.39,69.47,69.02
4,50.60,10.43,10.03
5,10.62,9.68,10.00
6,11.04,9.68,10.00
7,12.83,9.68,10.00
8,12.68,9.68,10.00
9,14.48,43.16,42.66
10,55.28,67.69,67.26
