,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.736441484300666,0.01807802093244529,0.07611798287345385,0.02664129400570885,0.02664129400570885,0.015223596574690771,0.007611798287345386,0.01807802093244529,0.046622264509990484,0.028544243577545196
automobile,0.01609657947686117,0.8430583501006036,0.013078470824949699,0.014084507042253521,0.0030181086519114686,0.004024144869215292,0.0030181086519114686,0.001006036217303823,0.029175050301810865,0.07344064386317907
bird,0.03755868544600939,0.004694835680751174,0.6572769953051644,0.07042253521126761,0.08098591549295775,0.07863849765258216,0.018779342723004695,0.03403755868544601,0.009389671361502348,0.008215962441314555
cat,0.015625,0.005859375,0.0693359375,0.517578125,0.060546875,0.21875,0.0517578125,0.0380859375,0.009765625,0.0126953125
deer,0.01778242677824268,0.0041841004184100415,0.08158995815899582,0.05753138075313807,0.6956066945606695,0.04811715481171548,0.011506276150627616,0.07112970711297072,0.0041841004184100415,0.008368200836820083
dog,0.009615384615384616,0.0027472527472527475,0.057692307692307696,0.1304945054945055,0.020604395604395604,0.6964285714285714,0.023351648351648352,0.04120879120879121,0.008241758241758242,0.009615384615384616
frog,0.015082956259426848,0.012066365007541479,0.0693815987933635,0.10256410256410256,0.06033182503770739,0.04147812971342383,0.6576168929110106,0.01583710407239819,0.012066365007541479,0.013574660633484163
horse,0.007007007007007007,0.003003003003003003,0.036036036036036036,0.03903903903903904,0.06306306306306306,0.05305305305305305,0.008008008008008008,0.7727727727727728,0.008008008008008008,0.01001001001001001
ship,0.06990291262135923,0.02912621359223301,0.01650485436893204,0.021359223300970873,0.009708737864077669,0.009708737864077669,0.006796116504854369,0.001941747572815534,0.8067961165048544,0.02815533980582524
truck,0.0375,0.075,0.010576923076923078,0.020192307692307693,0.004807692307692308,0.01730769230769231,0.004807692307692308,0.01826923076923077,0.0375,0.7740384615384616
