,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.8585757271815446,0.0,0.015045135406218655,0.015045135406218655,0.0,0.0,0.11033099297893681,0.0,0.0010030090270812437,0.0
Trouser,0.0,0.9969356486210419,0.0010214504596527069,0.0020429009193054137,0.0,0.0,0.0,0.0,0.0,0.0
Pullover,0.009966777408637873,0.0,0.8970099667774086,0.007751937984496124,0.029900332225913623,0.0,0.05426356589147287,0.0,0.0011074197120708748,0.0
Dress,0.02032520325203252,0.01524390243902439,0.009146341463414634,0.9136178861788617,0.01016260162601626,0.0,0.027439024390243903,0.0,0.0040650406504065045,0.0
Coat,0.0034100596760443308,0.0025575447570332483,0.08269394714407502,0.041773231031543054,0.7817561807331628,0.0,0.08525149190110827,0.0,0.0025575447570332483,0.0
Sandal,0.0010111223458038423,0.0,0.0,0.0,0.0,0.9878665318503539,0.0,0.003033367037411527,0.0020222446916076846,0.006066734074823054
Shirt,0.1080797481636936,0.0062959076600209865,0.07135362014690451,0.02833158447009444,0.048268625393494226,0.0,0.7355718782791185,0.0,0.002098635886673662,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.017657992565055763,0.0,0.9219330855018587,0.0037174721189591076,0.056691449814126396
Bag,0.006965174129353234,0.0,0.0,0.0009950248756218905,0.0,0.0,0.012935323383084577,0.0,0.9781094527363184,0.0009950248756218905
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.004250797024442083,0.0,0.005313496280552604,0.0,0.9904357066950054
