,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.0,0.344,0.225,0.0,0.0,0.087,0.0,0.0,0.0,0.344
automobile,0.0,0.682,0.074,0.0,0.0,0.024,0.0,0.0,0.0,0.22
bird,0.0,0.024,0.209,0.0,0.0,0.674,0.0,0.0,0.0,0.093
cat,0.0,0.01,0.203,0.0,0.0,0.706,0.0,0.0,0.0,0.081
deer,0.0,0.018,0.174,0.0,0.0,0.74,0.0,0.0,0.0,0.068
dog,0.0,0.006,0.13,0.0,0.0,0.82,0.0,0.0,0.0,0.044
frog,0.0,0.009,0.162,0.0,0.0,0.781,0.0,0.0,0.0,0.048
horse,0.0,0.013,0.357,0.0,0.0,0.552,0.0,0.0,0.0,0.078
ship,0.0,0.572,0.112,0.0,0.0,0.031,0.0,0.0,0.0,0.285
truck,0.0,0.571,0.125,0.0,0.0,0.029,0.0,0.0,0.0,0.275
