epoch,train_acc,val_acc,test_acc
1,38.53,58.76,59.49
2,62.63,64.63,64.33
3,70.56,72.53,73.12
4,74.95,75.40,75.56
5,78.13,77.29,76.35
6,80.61,78.82,78.77
7,82.67,76.14,76.43
8,84.55,78.53,77.66
9,86.15,82.22,82.04
10,87.50,78.42,78.33
