epoch,train_loss,val_loss,test_loss
1,1.68,1.17,1.15
2,1.06,1.01,1.02
3,0.85,0.78,0.78
4,0.73,0.71,0.71
5,0.64,0.68,0.71
6,0.57,0.63,0.63
7,0.50,0.71,0.72
8,0.45,0.68,0.70
9,0.40,0.53,0.54
10,0.36,0.65,0.66
