,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,867,0,15,0,0,91,0,0,1,26
automobile,247,2,4,0,0,7,0,0,4,736
bird,228,0,26,0,0,736,0,4,0,6
cat,204,0,41,0,0,741,0,3,0,11
deer,142,0,22,0,0,834,0,0,0,2
dog,139,0,27,0,0,827,0,3,0,4
frog,173,0,40,0,0,780,0,0,0,7
horse,183,0,40,0,0,771,0,1,0,5
ship,903,0,8,0,0,30,0,0,8,51
truck,327,0,6,0,0,19,0,1,2,645
