,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.8384912959381045,0.005802707930367505,0.01160541586073501,0.019342359767891684,0.0009671179883945841,0.0,0.11702127659574468,0.0,0.006769825918762089,0.0
Trouser,0.0,0.9979402677651905,0.0010298661174047373,0.0010298661174047373,0.0,0.0,0.0,0.0,0.0,0.0
Pullover,0.009009009009009009,0.0,0.8538538538538538,0.008008008008008008,0.07207207207207207,0.0,0.055055055055055056,0.0,0.002002002002002002,0.0
Dress,0.007261410788381743,0.015560165975103735,0.005186721991701245,0.9284232365145229,0.02074688796680498,0.0,0.01970954356846473,0.0,0.0031120331950207467,0.0
Coat,0.0010604453870625664,0.005302226935312832,0.05832449628844114,0.036055143160127257,0.8536585365853658,0.0,0.042417815482502653,0.0,0.003181336161187699,0.0
Sandal,0.0010070493454179255,0.0,0.0,0.0,0.0,0.9869083585095669,0.0,0.004028197381671702,0.002014098690835851,0.006042296072507553
Shirt,0.10099188458070334,0.004508566275924256,0.06672678088367899,0.0369702434625789,0.09107303877366997,0.0,0.6871055004508566,0.0,0.012623985572587917,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.01500441306266549,0.0,0.8764342453662842,0.00264783759929391,0.1059135039717564
Bag,0.003080082135523614,0.0,0.0,0.001026694045174538,0.001026694045174538,0.0,0.003080082135523614,0.0,0.9917864476386037,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.003409090909090909,0.0,0.003409090909090909,0.0,0.9931818181818182
