,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.792,0.008,0.061,0.009,0.024,0.006,0.02,0.012,0.044,0.024
automobile,0.008,0.906,0.004,0.008,0.002,0.004,0.02,0.002,0.01,0.036
bird,0.062,0.006,0.647,0.036,0.092,0.047,0.073,0.028,0.007,0.002
cat,0.028,0.011,0.103,0.425,0.099,0.144,0.127,0.039,0.009,0.015
deer,0.016,0.006,0.066,0.035,0.697,0.039,0.064,0.066,0.007,0.004
dog,0.012,0.005,0.061,0.082,0.054,0.655,0.066,0.049,0.004,0.012
frog,0.009,0.005,0.031,0.032,0.026,0.013,0.872,0.005,0.004,0.003
horse,0.019,0.007,0.042,0.023,0.039,0.036,0.014,0.807,0.005,0.008
ship,0.062,0.031,0.023,0.01,0.018,0.006,0.013,0.007,0.81,0.02
truck,0.023,0.091,0.008,0.01,0.009,0.01,0.019,0.019,0.011,0.8
