,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.704,0.013,0.039,0.016,0.001,0.002,0.003,0.007,0.186,0.029
automobile,0.027,0.734,0.01,0.016,0.0,0.0,0.002,0.004,0.126,0.081
bird,0.119,0.005,0.566,0.101,0.008,0.101,0.014,0.023,0.051,0.012
cat,0.073,0.009,0.097,0.504,0.007,0.144,0.024,0.021,0.085,0.036
deer,0.072,0.008,0.295,0.137,0.212,0.052,0.033,0.128,0.058,0.005
dog,0.033,0.005,0.096,0.283,0.007,0.481,0.012,0.035,0.037,0.011
frog,0.029,0.018,0.169,0.129,0.005,0.021,0.545,0.012,0.056,0.016
horse,0.054,0.004,0.045,0.059,0.016,0.111,0.002,0.668,0.02,0.021
ship,0.044,0.004,0.007,0.005,0.001,0.001,0.0,0.003,0.918,0.017
truck,0.07,0.097,0.011,0.017,0.0,0.004,0.004,0.013,0.082,0.702
