,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.763,0.014,0.06,0.027,0.019,0.011,0.017,0.011,0.051,0.027
automobile,0.027,0.776,0.015,0.011,0.007,0.014,0.014,0.011,0.036,0.089
bird,0.054,0.003,0.626,0.057,0.068,0.089,0.058,0.034,0.01,0.001
cat,0.018,0.01,0.082,0.468,0.057,0.261,0.066,0.024,0.008,0.006
deer,0.02,0.002,0.1,0.053,0.647,0.065,0.046,0.054,0.012,0.001
dog,0.013,0.001,0.063,0.113,0.046,0.703,0.024,0.032,0.001,0.004
frog,0.01,0.001,0.057,0.06,0.033,0.045,0.779,0.007,0.004,0.004
horse,0.016,0.002,0.04,0.041,0.083,0.098,0.005,0.707,0.002,0.006
ship,0.082,0.036,0.015,0.025,0.006,0.009,0.007,0.002,0.794,0.024
truck,0.041,0.063,0.011,0.024,0.008,0.015,0.013,0.017,0.034,0.774
