epoch,train_loss,val_loss,test_loss
1,1.01,0.57,0.59
2,0.63,0.57,0.59
3,0.54,0.49,0.50
4,0.47,0.44,0.46
5,0.42,0.44,0.44
6,0.38,0.56,0.56
7,0.36,0.40,0.41
8,0.33,0.42,0.43
9,0.31,0.33,0.33
10,0.29,0.34,0.34
11,0.27,0.34,0.35
12,0.26,0.31,0.32
13,0.24,0.28,0.29
14,0.23,0.28,0.28
15,0.21,0.26,0.27
16,0.20,0.27,0.27
17,0.19,0.24,0.24
18,0.18,0.29,0.30
19,0.18,0.23,0.24
20,0.17,0.27,0.28
