epoch,train_acc,val_acc,test_acc
1,65.69,80.77,79.81
2,76.46,83.43,82.41
3,80.30,83.93,83.37
4,82.89,86.67,85.71
5,84.74,86.41,86.18
6,86.17,78.85,78.15
7,87.38,86.94,86.68
8,88.43,87.06,86.74
9,88.92,90.28,89.98
10,89.90,89.22,88.77
11,90.40,90.11,89.64
12,90.82,89.30,88.88
13,91.73,91.54,91.40
14,92.00,91.77,91.40
15,92.43,92.00,91.47
16,92.74,90.44,90.26
17,93.26,91.99,91.58
18,93.52,88.84,88.57
19,93.53,92.62,92.09
20,94.14,91.12,90.69
