,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,765,0,7,19,0,0,199,0,10,0
Trouser,0,987,0,10,0,0,1,0,2,0
Pullover,7,2,725,8,79,0,179,0,0,0
Dress,5,1,5,950,6,0,31,0,2,0
Coat,0,0,8,38,846,0,107,0,1,0
Sandal,0,0,0,0,0,989,0,7,0,4
Shirt,40,2,17,29,35,0,871,0,6,0
Sneaker,0,0,0,0,0,4,0,982,0,14
Bag,0,0,1,3,0,2,4,0,990,0
Ankle boot,0,0,0,0,0,4,0,32,0,964
