,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.509,0.0,0.232,0.0,0.0,0.049,0.04,0.001,0.135,0.034
automobile,0.019,0.172,0.001,0.0,0.0,0.021,0.095,0.0,0.022,0.67
bird,0.094,0.0,0.414,0.0,0.0,0.437,0.048,0.002,0.002,0.003
cat,0.047,0.0,0.174,0.0,0.0,0.633,0.132,0.005,0.002,0.007
deer,0.04,0.0,0.225,0.0,0.0,0.667,0.06,0.006,0.0,0.002
dog,0.023,0.0,0.135,0.0,0.0,0.791,0.037,0.008,0.003,0.003
frog,0.025,0.0,0.072,0.0,0.0,0.649,0.229,0.004,0.002,0.019
horse,0.023,0.0,0.108,0.0,0.0,0.75,0.108,0.002,0.0,0.009
ship,0.367,0.004,0.057,0.0,0.0,0.022,0.035,0.001,0.451,0.063
truck,0.043,0.099,0.005,0.0,0.0,0.022,0.152,0.001,0.029,0.649
