,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.923,0.0,0.01,0.005,0.0,0.001,0.055,0.0,0.006,0.0
Trouser,0.003,0.977,0.0,0.016,0.0,0.0,0.001,0.0,0.003,0.0
Pullover,0.02,0.001,0.89,0.007,0.022,0.0,0.057,0.0,0.003,0.0
Dress,0.056,0.0,0.007,0.892,0.01,0.0,0.029,0.0,0.006,0.0
Coat,0.003,0.001,0.042,0.025,0.858,0.0,0.063,0.0,0.008,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.994,0.0,0.002,0.0,0.004
Shirt,0.121,0.002,0.041,0.016,0.036,0.0,0.772,0.0,0.012,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.935,0.0,0.03
Bag,0.005,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.992,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.021,0.0,0.973
