epoch,train_acc,val_acc,test_acc
1,41.80,51.68,50.97
2,53.37,51.45,50.81
3,57.02,50.56,49.62
4,59.34,58.12,57.60
5,61.17,56.35,55.84
6,62.72,60.68,60.85
7,63.61,57.79,57.81
8,65.00,60.58,60.01
9,65.92,61.83,61.54
10,67.00,56.57,56.21
