,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.7030625832223701,0.022636484687083888,0.07989347536617843,0.02529960053262317,0.023968042609853527,0.018641810918774968,0.009320905459387484,0.02130492676431425,0.05992010652463382,0.03595206391478029
automobile,0.027950310559006212,0.7443064182194618,0.011387163561076604,0.028985507246376812,0.013457556935817806,0.008281573498964804,0.027950310559006212,0.008281573498964804,0.050724637681159424,0.07867494824016563
bird,0.11928651059085842,0.006688963210702341,0.5027870680044593,0.09364548494983277,0.06577480490523968,0.08472686733556299,0.054626532887402456,0.045707915273132664,0.017837235228539576,0.008918617614269788
cat,0.01848998459167951,0.0030816640986132513,0.08628659476117104,0.44684129429892144,0.05238828967642527,0.2218798151001541,0.09399075500770417,0.029275808936825885,0.02773497688751926,0.020030816640986132
deer,0.05974652987326494,0.006638503319251659,0.12492456246228123,0.12673506336753168,0.4260712130356065,0.09837054918527459,0.06940253470126735,0.07423053711526856,0.007845503922751962,0.006035003017501509
dog,0.0052173913043478265,0.0052173913043478265,0.06260869565217392,0.15130434782608695,0.03130434782608696,0.6469565217391304,0.01391304347826087,0.06956521739130435,0.0017391304347826088,0.01217391304347826
frog,0.00967741935483871,0.021505376344086023,0.06236559139784946,0.09247311827956989,0.04086021505376344,0.04838709677419355,0.689247311827957,0.013978494623655914,0.015053763440860216,0.0064516129032258064
horse,0.025819265143992055,0.003972194637537239,0.041708043694141016,0.07249255213505462,0.06951340615690169,0.0804369414101291,0.012909632571996028,0.6663356504468719,0.00893743793445879,0.01787487586891758
ship,0.10466067048242028,0.03434178250204415,0.04251839738348324,0.04660670482420278,0.024529844644317254,0.044971381847914965,0.032706459525756335,0.01553556827473426,0.6271463614063778,0.02698282910874898
truck,0.04535315985130112,0.1308550185873606,0.020074349442379184,0.04907063197026022,0.010408921933085501,0.031226765799256505,0.02899628252788104,0.03717472118959108,0.05055762081784387,0.5962825278810409
