,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.868,0.002,0.019,0.01,0.001,0.0,0.091,0.0,0.009,0.0
Trouser,0.002,0.992,0.001,0.003,0.0,0.0,0.001,0.0,0.001,0.0
Pullover,0.01,0.002,0.876,0.003,0.073,0.0,0.035,0.0,0.001,0.0
Dress,0.014,0.001,0.006,0.939,0.015,0.0,0.025,0.0,0.0,0.0
Coat,0.0,0.0,0.021,0.025,0.931,0.0,0.021,0.0,0.002,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.982,0.0,0.011,0.001,0.006
Shirt,0.084,0.003,0.057,0.021,0.103,0.0,0.725,0.0,0.007,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.976,0.0,0.021
Bag,0.002,0.0,0.0,0.001,0.004,0.002,0.0,0.0,0.991,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.03,0.0,0.967
