,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.633,0.037,0.111,0.03,0.04,0.009,0.023,0.01,0.068,0.039
automobile,0.025,0.815,0.007,0.007,0.006,0.003,0.016,0.004,0.024,0.093
bird,0.069,0.024,0.472,0.104,0.105,0.067,0.08,0.039,0.018,0.022
cat,0.04,0.027,0.106,0.393,0.077,0.113,0.106,0.053,0.037,0.048
deer,0.029,0.019,0.089,0.067,0.533,0.05,0.094,0.087,0.015,0.017
dog,0.024,0.014,0.075,0.24,0.068,0.438,0.038,0.072,0.014,0.017
frog,0.022,0.032,0.044,0.079,0.047,0.022,0.71,0.006,0.016,0.022
horse,0.034,0.016,0.036,0.057,0.075,0.057,0.018,0.642,0.011,0.054
ship,0.105,0.055,0.027,0.022,0.008,0.004,0.014,0.004,0.715,0.046
truck,0.044,0.133,0.007,0.013,0.013,0.009,0.009,0.016,0.036,0.72
