train_loss,val_loss,test_loss
867.31,291.16,292.64
654.04,246.64,250.51
561.32,180.03,179.98
486.82,156.44,155.52
432.82,217.18,215.93
385.71,146.12,146.77
338.11,147.31,148.12
295.95,165.72,166.83
256.11,150.77,149.65
220.47,168.84,169.36
