train_acc,val_acc,test_acc
48.90,41.49,42.02
62.50,49.31,49.13
68.07,60.99,61.15
72.47,65.18,65.80
75.38,56.85,56.50
78.07,69.73,69.96
80.80,68.69,68.74
83.30,68.02,67.98
85.45,71.25,71.12
87.48,69.78,69.68
