,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.845,0.011,0.04,0.009,0.019,0.001,0.005,0.004,0.064,0.002
automobile,0.009,0.967,0.001,0.001,0.001,0.001,0.002,0.0,0.008,0.01
bird,0.049,0.0,0.779,0.022,0.072,0.021,0.032,0.011,0.014,0.0
cat,0.028,0.005,0.087,0.624,0.058,0.077,0.074,0.025,0.018,0.004
deer,0.014,0.002,0.087,0.023,0.823,0.011,0.021,0.012,0.007,0.0
dog,0.009,0.004,0.067,0.117,0.047,0.696,0.031,0.02,0.007,0.002
frog,0.008,0.002,0.073,0.017,0.026,0.006,0.85,0.003,0.015,0.0
horse,0.011,0.003,0.036,0.029,0.091,0.027,0.006,0.792,0.003,0.002
ship,0.038,0.025,0.004,0.003,0.005,0.0,0.006,0.002,0.915,0.002
truck,0.03,0.153,0.005,0.011,0.004,0.0,0.005,0.003,0.048,0.741
