,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.8536821705426356,0.0,0.013565891472868217,0.013565891472868217,0.0,0.0,0.11918604651162791,0.0,0.0,0.0
Trouser,0.0020161290322580645,0.9909274193548387,0.0020161290322580645,0.004032258064516129,0.0,0.0,0.0,0.0,0.0010080645161290322,0.0
Pullover,0.024925224327018942,0.0,0.8574277168494516,0.005982053838484547,0.03389830508474576,0.0,0.07577268195413758,0.0,0.0009970089730807576,0.0009970089730807576
Dress,0.024415055951169887,0.011190233977619531,0.007121057985757884,0.9114954221770092,0.007121057985757884,0.0,0.03458799593082401,0.0,0.004069175991861648,0.0
Coat,0.006167400881057269,0.003524229074889868,0.0722466960352423,0.05462555066079295,0.7947136563876652,0.0,0.06519823788546256,0.0,0.003524229074889868,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.9928352098259979,0.0,0.0020470829068577278,0.0010235414534288639,0.0040941658137154556
Shirt,0.06611570247933884,0.0,0.04132231404958678,0.01652892561983471,0.06493506493506493,0.0,0.8087367178276269,0.0,0.0023612750885478157,0.0
Sneaker,0.0,0.0,0.0,0.0009699321047526673,0.0,0.01842870999030068,0.0,0.9485935984481086,0.0019398642095053346,0.030067895247332686
Bag,0.004975124378109453,0.001990049751243781,0.0,0.0029850746268656717,0.001990049751243781,0.0009950248756218905,0.007960199004975124,0.0,0.9791044776119403,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.010050251256281407,0.0,0.020100502512562814,0.0010050251256281408,0.9688442211055276
