epoch,train_acc,val_acc,test_acc
1,79.70,88.47,87.88
2,88.29,89.34,88.81
3,89.96,90.77,90.29
4,90.78,91.39,90.89
5,91.46,91.88,91.07
6,92.31,91.72,90.94
7,92.65,91.88,91.33
8,93.16,91.32,91.16
9,93.59,92.20,92.07
10,93.74,91.43,91.03
