,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle Boot
T-shirt/top,855,60,30,6,2,2,5,4,21,15
Trouser,34,890,17,5,1,3,3,3,12,32
Pullover,181,20,612,54,10,45,38,21,15,4
Dress,112,38,153,415,14,126,78,34,21,9
Coat,122,18,313,95,264,45,74,56,13,0
Sandal,62,15,176,224,10,422,30,42,15,4
Shirt,48,30,125,61,3,15,697,8,9,4
Sneaker,81,16,103,55,23,87,9,611,6,9
Bag,257,139,12,11,0,0,2,2,555,22
Ankle Boot,88,320,14,16,1,4,7,21,22,507
