,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.786,0.008,0.033,0.014,0.027,0.008,0.009,0.008,0.076,0.031
automobile,0.017,0.813,0.002,0.016,0.005,0.007,0.009,0.002,0.037,0.092
bird,0.09,0.004,0.487,0.088,0.116,0.091,0.044,0.049,0.029,0.002
cat,0.027,0.003,0.05,0.56,0.062,0.179,0.049,0.038,0.021,0.011
deer,0.021,0.003,0.03,0.069,0.703,0.061,0.029,0.068,0.015,0.001
dog,0.006,0.004,0.024,0.141,0.033,0.718,0.01,0.045,0.016,0.003
frog,0.015,0.003,0.033,0.071,0.035,0.047,0.763,0.006,0.023,0.004
horse,0.01,0.001,0.02,0.03,0.039,0.075,0.007,0.802,0.007,0.009
ship,0.05,0.01,0.009,0.007,0.004,0.012,0.003,0.007,0.879,0.019
truck,0.023,0.04,0.005,0.027,0.011,0.018,0.006,0.02,0.036,0.814
