,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,754,1,28,6,3,2,4,5,14,1
automobile,6,898,1,4,3,2,6,2,3,23
bird,24,0,585,15,11,6,6,2,2,0
cat,35,2,63,712,51,121,46,18,2,0
deer,20,0,72,24,743,16,7,7,0,0
dog,5,0,89,124,35,790,20,24,0,0
frog,9,2,88,43,36,13,883,3,6,5
horse,8,0,44,31,88,34,5,920,1,1
ship,82,23,17,16,17,7,18,5,954,20
truck,57,74,13,25,13,9,5,14,18,950
