,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.873,0.001,0.023,0.015,0.002,0.001,0.082,0.0,0.003,0.0
Trouser,0.002,0.979,0.0,0.015,0.001,0.0,0.003,0.0,0.0,0.0
Pullover,0.009,0.001,0.93,0.005,0.026,0.0,0.027,0.0,0.002,0.0
Dress,0.011,0.001,0.009,0.937,0.016,0.0,0.025,0.0,0.001,0.0
Coat,0.002,0.0,0.071,0.027,0.854,0.0,0.044,0.0,0.002,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.986,0.0,0.009,0.0,0.005
Shirt,0.115,0.002,0.098,0.023,0.057,0.0,0.701,0.0,0.004,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.984,0.0,0.005
Bag,0.003,0.0,0.001,0.005,0.001,0.002,0.005,0.0,0.983,0.0
Ankle boot,0.0,0.0,0.001,0.0,0.0,0.003,0.0,0.059,0.0,0.937
