epoch,train_loss,val_loss,test_loss
1,0.94,0.59,0.60
2,0.59,0.48,0.49
3,0.49,0.43,0.44
4,0.43,0.41,0.42
5,0.38,0.34,0.36
6,0.34,0.36,0.37
7,0.31,0.30,0.31
8,0.28,0.29,0.30
9,0.27,0.24,0.25
10,0.26,0.23,0.24
