epoch,train_acc,val_acc,test_acc
1,65.95,79.70,79.37
2,77.76,84.58,84.10
3,81.96,85.75,84.86
4,84.38,85.52,84.56
5,86.46,87.78,87.30
6,87.76,86.38,85.80
7,89.13,89.36,88.92
8,89.95,90.41,89.65
9,90.60,91.52,91.08
10,90.91,91.65,91.64
