epoch,train_acc,val_acc,test_acc
1,81.57,85.12,84.48
2,87.38,88.40,87.75
3,88.98,87.22,86.65
4,89.78,87.90,87.36
5,90.38,89.56,88.67
6,91.14,88.41,88.07
7,91.59,89.44,89.20
8,92.09,89.62,89.50
9,92.58,90.70,90.25
10,92.85,90.14,89.53
11,93.21,90.71,90.05
12,93.70,90.53,90.13
13,94.16,90.23,90.01
14,94.33,90.16,89.83
15,94.58,90.57,90.02
16,94.92,90.80,90.35
17,95.25,90.37,89.92
18,95.64,90.22,90.18
19,95.76,89.12,89.18
20,95.97,89.99,90.22
21,96.30,90.41,90.16
22,96.40,89.48,89.35
23,96.59,90.41,90.04
24,96.79,89.66,89.42
25,97.06,89.87,89.61
