epoch,train_loss,val_loss,test_loss
1,0.51,0.40,0.41
2,0.34,0.35,0.37
3,0.30,0.32,0.34
4,0.27,0.29,0.31
5,0.25,0.28,0.30
6,0.24,0.32,0.33
7,0.22,0.29,0.31
8,0.21,0.27,0.29
9,0.20,0.28,0.29
10,0.19,0.27,0.29
11,0.18,0.27,0.29
12,0.17,0.29,0.31
13,0.16,0.27,0.29
14,0.15,0.29,0.32
15,0.14,0.30,0.32
16,0.14,0.32,0.35
17,0.12,0.30,0.32
18,0.12,0.33,0.37
19,0.12,0.32,0.36
20,0.10,0.35,0.38
21,0.10,0.33,0.36
22,0.10,0.37,0.38
23,0.09,0.38,0.40
24,0.08,0.39,0.43
25,0.08,0.39,0.43
